poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
772,PHL.40.17_1,Laguna,Magdalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,PHL.40.18_1,Laguna,Majayjay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,PHL.40.19_1,Laguna,Nagcarlan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775,PHL.40.20_1,Laguna,Paete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,PHL.40.21_1,Laguna,Pagsanjan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,PHL.40.22_1,Laguna,Pakil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778,PHL.40.23_1,Laguna,Palakpakin Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,PHL.40.24_1,Laguna,Pangil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,PHL.40.25_1,Laguna,Pila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,PHL.40.26_1,Laguna,Rizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,PHL.40.27_1,Laguna,Sampaloc Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,PHL.40.28_1,Laguna,San Pablo City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,PHL.40.29_1,Laguna,San Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,PHL.40.30_1,Laguna,Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,PHL.40.31_1,Laguna,Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,PHL.40.32_1,Laguna,Santa Rosa City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,PHL.40.33_1,Laguna,Siniloan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,PHL.40.34_1,Laguna,Victoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,PHL.40.35_1,Laguna,Waterbody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,PHL.41.1_1,Lanao del Norte,Bacolod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,PHL.41.2_1,Lanao del Norte,Baloi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
