poly_id,GID_2,NAME_1,NAME_2,EAD_nomang_usd,EAD_with_usd,EAD_avoided_usd,mangrove_ha,benefit_per_ha_year,NPV_benefits_usd,NPV_cost_low,NPV_cost_mid,NPV_cost_high,BCR_low,BCR_mid,BCR_high,pop_exposed_nomang,ntl_exposed_nomang,pop_exposed_with,ntl_exposed_with,pop_avoided,ntl_avoided
1270,PHL.61.22_1,Pangasinan,Laoac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271,PHL.61.23_1,Pangasinan,Lingayen,19401518.604,17134689.476,2266829.1279999986,299.56988525390625,7566.945943443894,34846719.75649149,449354.8278808594,1198279.541015625,2995698.8525390625,77.54833729244064,29.08062648466524,11.632250593866095,196.6661376953125,161.39234924316406,196.6661376953125,161.39234924316406,0,0
1272,PHL.61.24_1,Pangasinan,Mabini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1273,PHL.61.25_1,Pangasinan,Malasiqui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,PHL.61.26_1,Pangasinan,Manaoag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,PHL.61.27_1,Pangasinan,Mangaldan,4762636.001,4762636.001,0,0,0,0,0,0,0,0,0,0,134.26890563964844,126.92849731445312,134.26890563964844,126.92849731445312,0,0
1276,PHL.61.28_1,Pangasinan,Mangatarem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,PHL.61.29_1,Pangasinan,Mapandan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,PHL.61.30_1,Pangasinan,Natividad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,PHL.61.31_1,Pangasinan,Pozzorubio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1280,PHL.61.32_1,Pangasinan,Rosales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281,PHL.61.33_1,Pangasinan,San Carlos City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,PHL.61.34_1,Pangasinan,San Fabian,12500887.052000001,12500887.052000001,0,0,0,0,0,0,0,0,0,0,229.9745635986328,262.59075927734375,229.9745635986328,262.59075927734375,0,0
1283,PHL.61.35_1,Pangasinan,San Jacinto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284,PHL.61.36_1,Pangasinan,San Manuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,PHL.61.37_1,Pangasinan,San Nicolas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,PHL.61.38_1,Pangasinan,San Quintin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,PHL.61.39_1,Pangasinan,Santa Barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1288,PHL.61.40_1,Pangasinan,Santa Maria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,PHL.61.41_1,Pangasinan,Santo Tomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,PHL.61.42_1,Pangasinan,Sison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,PHL.61.43_1,Pangasinan,Sual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,PHL.61.44_1,Pangasinan,Tayug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,PHL.61.45_1,Pangasinan,Umingan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,PHL.61.46_1,Pangasinan,Urbiztondo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295,PHL.61.47_1,Pangasinan,Urdaneta City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,PHL.61.48_1,Pangasinan,Villasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,PHL.62.1_1,Quezon,Agdangan,0,0,0,0,0,0,0,0,0,0,0,0,8.839300155639648,0,8.839300155639648,0,0,0
1298,PHL.62.2_1,Quezon,Alabat,0,0,0,304.9091491699219,0,0,457363.7237548828,1219636.5966796875,3049091.4916992188,0,0,0,0,0,0,0,0,0
1299,PHL.62.3_1,Quezon,Atimonan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,PHL.62.4_1,Quezon,Buenavista,0,0,0,0,0,0,0,0,0,0,0,0,7.265414714813232,0,7.265414714813232,0,0,0
1301,PHL.62.5_1,Quezon,Burdeos,0,0,0,3235.732421875,0,0,4853598.6328125,12942929.6875,32357324.21875,0,0,0,6.3890767097473145,0,6.3890767097473145,0,0,0
1302,PHL.62.6_1,Quezon,Calauag,1159048.9587499998,933596.935125,225452.0236249998,2843.540283203125,79.2856795301095,3465750.19208694,4265310.4248046875,11374161.1328125,28435402.83203125,0.8125434838064899,0.3047038064274337,0.12188152257097348,8.493401527404785,10.61214542388916,2.4844748973846436,2.3466014862060547,6.008926630020142,8.265543937683105
1303,PHL.62.7_1,Quezon,Candelaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,PHL.62.8_1,Quezon,Catanauan,3644251.3540000003,3439630.814,204620.5400000005,144.54054260253906,1415.661905757963,3145519.230244327,216810.8139038086,578162.17041015625,1445405.4260253906,14.50812887792527,5.440548329221976,2.1762193316887903,61.59368133544922,24.913240432739258,60.43696594238281,24.241975784301758,1.1567153930664062,0.6712646484375
1305,PHL.62.9_1,Quezon,Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1306,PHL.62.10_1,Quezon,General Luna,16.972899658203126,15.652610107421875,1.3202895507812507,135.70518493652344,0.009729101739176883,20.296086460689907,203557.77740478516,542820.73974609375,1357051.8493652344,9.970676001403812e-5,3.73900350052643e-5,1.495601400210572e-5,1.0563760995864868,0,1.0563760995864868,0,0,0
1307,PHL.62.11_1,Quezon,General Nakar,0,0,0,67.43050384521484,0,0,101145.75576782227,269722.0153808594,674305.0384521484,0,0,0,0.9764153361320496,0,0.9764153361320496,0,0,0
1308,PHL.62.12_1,Quezon,Guinayangan,0,0,0,212.33592224121094,0,0,318503.8833618164,849343.68896484375,2123359.2224121094,0,0,0,8.942005157470703,0,7.664309978485107,0,1.2776951789855957,0
1309,PHL.62.13_1,Quezon,Gumaca,933330.8911250002,928717.086125,4613.805000000168,0,4613805000000.167,70925.49141008971,0,0,0,70925491410089.7,70925491410089.7,70925491410089.7,15.121861457824707,8.25084400177002,15.121861457824707,8.25084400177002,0,0
1310,PHL.62.14_1,Quezon,Hinunangan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,PHL.62.15_1,Quezon,Infanta,64083.74915625,54956.325648437494,9127.423507812506,2094.27783203125,4.358267737074682,140310.87087546685,3141416.748046875,8377111.328125,20942778.3203125,0.04466483823348267,0.016749314337556,0.0066997257350224,39.546669006347656,1.8126014471054077,21.224576950073242,0.20911753177642822,18.322092056274414,1.6034839153289795
1312,PHL.62.16_1,Quezon,Jomalig,0,0,0,436.6590576171875,0,0,654988.58642578125,1746636.23046875,4366590.576171875,0,0,0,0,0,0,0,0,0
1313,PHL.62.17_1,Quezon,Lopez,35401.797194580075,25131.302687866213,10270.494506713861,281.33514404296875,36.50626210120849,157882.67382632795,422002.7160644531,1125340.576171875,2813351.4404296875,0.3741271508835841,0.14029768158134404,0.05611907263253762,1.4352552890777588,0,1.4352552890777588,0,0,0
1314,PHL.62.18_1,Quezon,Lucban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1315,PHL.62.19_1,Quezon,Lucena City,8676151.623,8041275.240999999,634876.3820000002,87.700347900390625,7239.154657870775,9759606.090419559,131550.52185058594,350801.3916015625,877003.47900390625,74.18903363609947,27.820887613537302,11.12835504541492,99.88114166259766,59.070430755615234,99.88114166259766,59.070430755615234,0,0
1316,PHL.62.20_1,Quezon,Macalelon,600670.7495,450734.41187500005,149936.337625,228.6265106201172,655.8134365884289,2304889.0072904816,342939.7659301758,914506.04248046875,2286265.106201172,6.720973291151567,2.5203649841818376,1.008145993672735,11.8464937210083,2.2966363430023193,11.8464937210083,2.2966363430023193,0,0
1317,PHL.62.21_1,Quezon,Mauban,0,0,0,921.18218994140625,0,0,1381773.2849121094,3684728.759765625,9211821.8994140625,0,0,0,0,0,0,0,0,0
1318,PHL.62.22_1,Quezon,Mulanay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319,PHL.62.23_1,Quezon,Padre Burgos,0,0,0,242.48655700683594,0,0,363729.8355102539,969946.22802734375,2424865.5700683594,0,0,0,0,0,0,0,0,0
1320,PHL.62.24_1,Quezon,Pagbilao,1257924.0072499998,1157913.7687499998,100010.23849999998,242.36305236816406,412.6463894673121,1537402.4935281214,363544.5785522461,969452.20947265625,2423630.5236816406,4.228924275670849,1.5858466033765684,0.6343386413506273,27.189054489135742,15.601322174072266,27.189054489135742,15.601322174072266,0,0
1321,PHL.62.25_1,Quezon,Panukulan,0,0,0,1413.4205322265625,0,0,2120130.7983398438,5653682.12890625,14134205.322265625,0,0,0,4.3152594566345215,0,4.3152594566345215,0,0,0
1322,PHL.62.26_1,Quezon,Patnanungan,0,0,0,1185.2633056640625,0,0,1777894.9584960938,4741053.22265625,11852633.056640625,0,0,0,8.335492134094238,0,8.335492134094238,0,0,0
1323,PHL.62.27_1,Quezon,Perez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,PHL.62.28_1,Quezon,Pitogo,0,0,0,364.036865234375,0,0,546055.2978515625,1456147.4609375,3640368.65234375,0,0,0,0,0,0,0,0,0
1325,PHL.62.29_1,Quezon,Plaridel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,PHL.62.30_1,Quezon,Polillo,0,0,0,387.2225036621094,0,0,580833.7554931641,1548890.0146484375,3872225.0366210938,0,0,0,0,0,0,0,0,0
1327,PHL.62.31_1,Quezon,Quezon,1710534.46575,1570236.88675,140297.5789999999,288.00750732421875,487.13167341871645,2156717.6623677234,432011.2609863281,1152030.029296875,2880075.0732421875,4.9922718621817985,1.8721019483181747,0.7488407793272698,9.720240592956543,2.2436447143554688,9.720240592956543,2.2436447143554688,0,0
1328,PHL.62.32_1,Quezon,Real,13732.92344335938,12385.819478515625,1347.1039648437545,0,1347103964843.7544,20708.289727680305,0,0,0,20708289727680.305,20708289727680.305,20708289727680.305,0.20027419924736023,0,0.20027419924736023,0,0,0
1329,PHL.62.33_1,Quezon,Sampaloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
